epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5247,1.36758,0.87507,1.38773,0.54568,0.53909,0.55279,0.27308,1.77558,1.07674,1.83163,0.000219202,0.000219202,0.000219202
2,22.9055,1.37745,0.88709,1.37799,0.63377,0.52139,0.54765,0.26593,1.81957,1.12917,1.86314,0.000437164,0.000437164,0.000437164
3,33.0866,1.41492,0.91825,1.41617,0.61561,0.50865,0.51564,0.25006,1.85841,1.16311,1.88422,0.000650724,0.000650724,0.000650724
4,43.1554,1.42891,0.9431,1.41899,0.54503,0.52977,0.5349,0.25923,1.83277,1.18167,1.87249,0.00064719,0.00064719,0.00064719
5,53.3034,1.42286,0.92756,1.41225,0.54094,0.50376,0.52559,0.25409,1.82172,1.19786,1.8324,0.000640587,0.000640587,0.000640587
6,63.4631,1.45401,0.95488,1.43741,0.54661,0.50229,0.52118,0.24926,1.84665,1.15521,1.87589,0.000633983,0.000633983,0.000633983
7,73.5427,1.43153,0.94312,1.42637,0.6074,0.55443,0.55742,0.27116,1.80983,1.13639,1.86655,0.00062738,0.00062738,0.00062738
8,83.6544,1.4466,0.94757,1.43576,0.59868,0.50006,0.53143,0.25134,1.86193,1.14888,1.90329,0.000620777,0.000620777,0.000620777
9,93.7732,1.41968,0.91222,1.41202,0.66445,0.48154,0.54744,0.26198,1.86775,1.12687,1.89954,0.000614174,0.000614174,0.000614174
10,103.85,1.43028,0.93818,1.43125,0.5442,0.50951,0.5358,0.26211,1.82579,1.14991,1.85922,0.00060757,0.00060757,0.00060757
11,113.948,1.41475,0.91214,1.41527,0.53507,0.57074,0.54672,0.26286,1.83718,1.15309,1.87225,0.000600967,0.000600967,0.000600967
12,124.02,1.42017,0.91446,1.41713,0.52768,0.54837,0.53059,0.25437,1.82253,1.15107,1.88624,0.000594364,0.000594364,0.000594364
13,134.113,1.40584,0.90766,1.41301,0.6665,0.525,0.54173,0.26215,1.87891,1.18828,1.92352,0.00058776,0.00058776,0.00058776
14,144.214,1.41275,0.90544,1.40338,0.57887,0.48824,0.52974,0.25834,1.84052,1.13704,1.89932,0.000581157,0.000581157,0.000581157
15,154.42,1.41438,0.90316,1.40891,0.56108,0.5332,0.53582,0.26164,1.86544,1.16795,1.90169,0.000574554,0.000574554,0.000574554
16,164.557,1.41154,0.90584,1.40232,0.55956,0.5093,0.55006,0.26441,1.83545,1.16219,1.87279,0.00056795,0.00056795,0.00056795
17,174.679,1.40023,0.89642,1.40736,0.66857,0.50263,0.55777,0.26832,1.84561,1.1148,1.87592,0.000561347,0.000561347,0.000561347
18,184.769,1.40737,0.90316,1.41489,0.54611,0.53035,0.53699,0.26044,1.83702,1.1643,1.87362,0.000554744,0.000554744,0.000554744
19,194.814,1.39313,0.88434,1.40937,0.57454,0.47159,0.51095,0.24808,1.85796,1.12434,1.87603,0.000548141,0.000548141,0.000548141
20,204.866,1.40187,0.87415,1.417,0.53339,0.54518,0.55677,0.27087,1.84328,1.14033,1.92606,0.000541537,0.000541537,0.000541537
21,215.251,1.3804,0.87059,1.40378,0.58117,0.49575,0.5327,0.25924,1.85429,1.13391,1.92038,0.000534934,0.000534934,0.000534934
22,225.854,1.37934,0.86931,1.38205,0.53385,0.52939,0.54172,0.26468,1.82465,1.12865,1.86971,0.000528331,0.000528331,0.000528331
23,236.491,1.38029,0.86218,1.39968,0.52001,0.52981,0.54445,0.25807,1.86353,1.15169,1.89569,0.000521727,0.000521727,0.000521727
24,247.232,1.3797,0.87735,1.4029,0.63163,0.51127,0.5274,0.26557,1.83224,1.12151,1.88286,0.000515124,0.000515124,0.000515124
25,257.909,1.36584,0.86464,1.3916,0.53732,0.54448,0.5432,0.26254,1.84067,1.09362,1.89034,0.000508521,0.000508521,0.000508521
26,268.577,1.3485,0.83394,1.37396,0.53248,0.53715,0.53306,0.25914,1.8604,1.1279,1.91504,0.000501917,0.000501917,0.000501917
27,279.15,1.34881,0.83258,1.3596,0.55681,0.52171,0.53597,0.26473,1.86672,1.12986,1.93115,0.000495314,0.000495314,0.000495314
28,289.77,1.34514,0.83296,1.38871,0.56119,0.49699,0.5308,0.26571,1.83268,1.07467,1.87896,0.000488711,0.000488711,0.000488711
29,300.422,1.34444,0.83124,1.37259,0.53676,0.52305,0.53167,0.25472,1.87238,1.12539,1.92779,0.000482108,0.000482108,0.000482108
30,311.081,1.34617,0.83545,1.37146,0.53803,0.51334,0.53114,0.26713,1.83533,1.1233,1.89777,0.000475504,0.000475504,0.000475504
31,321.648,1.33279,0.8287,1.36958,0.59182,0.50184,0.54812,0.27213,1.82199,1.1105,1.8772,0.000468901,0.000468901,0.000468901
32,332.323,1.32706,0.80798,1.34214,0.48902,0.55916,0.54166,0.26444,1.84852,1.1374,1.89894,0.000462298,0.000462298,0.000462298
33,342.925,1.3257,0.81949,1.35019,0.58684,0.50306,0.53817,0.26365,1.82594,1.10454,1.90109,0.000455694,0.000455694,0.000455694
34,353.574,1.32076,0.80879,1.33838,0.53306,0.51454,0.52759,0.25525,1.86253,1.14202,1.91685,0.000449091,0.000449091,0.000449091
35,364.221,1.33319,0.81264,1.35982,0.58052,0.49677,0.53286,0.26108,1.83432,1.11843,1.8941,0.000442488,0.000442488,0.000442488
36,375.041,1.33476,0.82467,1.3455,0.61146,0.50884,0.54619,0.27087,1.83139,1.11367,1.87875,0.000435884,0.000435884,0.000435884
37,385.625,1.31893,0.8166,1.3493,0.54592,0.51392,0.52822,0.2628,1.8327,1.10478,1.92704,0.000429281,0.000429281,0.000429281
38,396.258,1.31529,0.80564,1.35494,0.54117,0.52174,0.5259,0.26192,1.82349,1.11142,1.88049,0.000422678,0.000422678,0.000422678
39,406.723,1.30692,0.79409,1.33888,0.55433,0.49129,0.5146,0.25499,1.8469,1.15014,1.93747,0.000416075,0.000416075,0.000416075
40,417.5,1.29926,0.77044,1.34086,0.65475,0.51128,0.51816,0.25477,1.86506,1.13037,1.9211,0.000409471,0.000409471,0.000409471
41,428.154,1.29352,0.77645,1.33558,0.56244,0.50465,0.53322,0.26612,1.86207,1.1134,1.91735,0.000402868,0.000402868,0.000402868
42,438.771,1.28258,0.7792,1.33343,0.55356,0.53122,0.5288,0.26393,1.84833,1.10515,1.92871,0.000396265,0.000396265,0.000396265
43,449.43,1.29245,0.7836,1.32985,0.54532,0.51826,0.54154,0.27478,1.83024,1.11139,1.90179,0.000389661,0.000389661,0.000389661
44,460.042,1.28327,0.7837,1.33236,0.56653,0.52964,0.54623,0.26898,1.82975,1.0876,1.92226,0.000383058,0.000383058,0.000383058
45,470.671,1.27167,0.77429,1.32408,0.59389,0.5062,0.55101,0.26931,1.83192,1.08698,1.90485,0.000376455,0.000376455,0.000376455
46,481.339,1.27774,0.773,1.32006,0.64353,0.50865,0.53101,0.26211,1.84161,1.1041,1.90859,0.000369851,0.000369851,0.000369851
47,491.978,1.27071,0.76887,1.31649,0.5852,0.50832,0.55212,0.26864,1.8214,1.11574,1.89251,0.000363248,0.000363248,0.000363248
48,502.602,1.27458,0.77334,1.33382,0.5905,0.53986,0.53943,0.27127,1.81229,1.12157,1.89954,0.000356645,0.000356645,0.000356645
49,513.259,1.27177,0.76468,1.32788,0.66817,0.49647,0.5281,0.26492,1.83604,1.10132,1.911,0.000350042,0.000350042,0.000350042
50,523.85,1.2626,0.75676,1.31489,0.6884,0.5261,0.54703,0.27342,1.84701,1.07772,1.94256,0.000343438,0.000343438,0.000343438
51,534.409,1.27356,0.76219,1.31637,0.54212,0.53095,0.54043,0.2693,1.842,1.10307,1.92162,0.000336835,0.000336835,0.000336835
52,544.698,1.25628,0.75486,1.31025,0.54912,0.53554,0.55377,0.27049,1.8299,1.08771,1.91893,0.000330232,0.000330232,0.000330232
53,554.659,1.23689,0.73953,1.30136,0.65488,0.52984,0.53646,0.26502,1.85644,1.11418,1.9384,0.000323628,0.000323628,0.000323628
54,564.767,1.2332,0.73985,1.28806,0.56661,0.52611,0.53337,0.26842,1.83679,1.11923,1.90862,0.000317025,0.000317025,0.000317025
55,574.852,1.24341,0.74573,1.3022,0.59569,0.50892,0.54032,0.26386,1.83577,1.10131,1.91014,0.000310422,0.000310422,0.000310422
56,584.895,1.23579,0.73515,1.30869,0.54145,0.53748,0.54155,0.26382,1.82667,1.12725,1.89026,0.000303818,0.000303818,0.000303818
57,595.044,1.25227,0.73751,1.30386,0.52593,0.54345,0.54042,0.26814,1.82023,1.10148,1.91522,0.000297215,0.000297215,0.000297215
58,605.159,1.23718,0.73385,1.29364,0.6004,0.50417,0.55393,0.26864,1.82648,1.06685,1.93061,0.000290612,0.000290612,0.000290612
59,616.119,1.23557,0.72168,1.28383,0.52729,0.54565,0.54026,0.26999,1.82632,1.10371,1.92447,0.000284009,0.000284009,0.000284009
60,626.413,1.23112,0.73061,1.30115,0.52224,0.55779,0.54838,0.27203,1.8194,1.09032,1.91899,0.000277405,0.000277405,0.000277405
61,636.64,1.22604,0.73096,1.30276,0.60633,0.5331,0.52518,0.26409,1.84392,1.1138,1.94226,0.000270802,0.000270802,0.000270802
62,647.486,1.22652,0.7215,1.28114,0.56816,0.5086,0.53265,0.26365,1.8477,1.11371,1.95338,0.000264199,0.000264199,0.000264199
63,658.484,1.21961,0.72327,1.28053,0.56307,0.51258,0.53484,0.26559,1.83201,1.11616,1.93321,0.000257595,0.000257595,0.000257595
64,670.354,1.20367,0.70735,1.28354,0.54524,0.54994,0.53606,0.26599,1.85041,1.12195,1.95864,0.000250992,0.000250992,0.000250992
65,681.533,1.21476,0.724,1.29779,0.59137,0.51072,0.54318,0.26914,1.81992,1.12536,1.91989,0.000244389,0.000244389,0.000244389
66,692.88,1.20709,0.71112,1.26899,0.58117,0.52782,0.55154,0.2687,1.83176,1.1001,1.93352,0.000237785,0.000237785,0.000237785
67,704.277,1.19498,0.70241,1.27242,0.5407,0.5274,0.53487,0.26671,1.84511,1.11928,1.9694,0.000231182,0.000231182,0.000231182
68,715.558,1.20912,0.71355,1.28538,0.56101,0.51022,0.53495,0.26455,1.8345,1.11187,1.9507,0.000224579,0.000224579,0.000224579
