epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,199.068,1.59929,2.14139,1.5718,0.58242,0.50756,0.45295,0.25598,1.62697,1.51573,1.6076,0.00333031,0.00333031,0.00333031
2,374.061,1.48394,1.49016,1.41024,0.72885,0.55121,0.57157,0.34228,1.57669,1.34484,1.53027,0.00659768,0.00659768,0.00659768
3,540.044,1.50924,1.41845,1.40738,0.6515,0.44398,0.44419,0.23758,1.73514,1.7028,1.66695,0.00979904,0.00979904,0.00979904
4,713.954,1.52541,1.41771,1.41407,0.72666,0.52247,0.53152,0.28736,1.65598,1.35442,1.59753,0.009703,0.009703,0.009703
5,889.709,1.48746,1.34309,1.39158,0.67567,0.59279,0.63555,0.38452,1.50895,1.15936,1.47526,0.009604,0.009604,0.009604
6,1065.92,1.46094,1.28588,1.36933,0.77499,0.60104,0.63945,0.3938,1.51651,1.13221,1.46375,0.009505,0.009505,0.009505
7,1241.84,1.44519,1.2412,1.35824,0.78702,0.60322,0.65407,0.393,1.49454,1.11271,1.4541,0.009406,0.009406,0.009406
8,1417.72,1.42856,1.20702,1.34365,0.76623,0.62011,0.66012,0.40847,1.45939,1.10062,1.41582,0.009307,0.009307,0.009307
9,1593.29,1.4075,1.18664,1.32828,0.79867,0.62555,0.67986,0.42976,1.43746,1.03034,1.38382,0.009208,0.009208,0.009208
10,1769.15,1.40339,1.17327,1.31987,0.82131,0.62041,0.69018,0.43742,1.43157,1.00343,1.35338,0.009109,0.009109,0.009109
11,1944.79,1.40094,1.14805,1.31189,0.81554,0.6367,0.70093,0.44443,1.42426,0.97026,1.35327,0.00901,0.00901,0.00901
12,2120.34,1.38646,1.12387,1.296,0.81003,0.62347,0.7086,0.44771,1.4074,0.94584,1.32434,0.008911,0.008911,0.008911
13,2296.73,1.37735,1.11705,1.2915,0.82606,0.6434,0.70904,0.45769,1.41527,0.9412,1.34412,0.008812,0.008812,0.008812
