epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.339,1.51893,2.39495,1.4369,0.70935,0.54889,0.54973,0.30677,1.63993,1.72426,1.54576,0.00333031,0.00333031,0.00333031
2,586.542,1.52272,1.7867,1.406,0.68815,0.51771,0.5256,0.29595,1.59248,1.46825,1.52285,0.00659768,0.00659768,0.00659768
3,844.115,1.58068,1.70855,1.44992,0.63697,0.42427,0.43912,0.22373,1.67115,1.76467,1.59604,0.00979904,0.00979904,0.00979904
4,1104.02,1.59452,1.61743,1.4858,0.72029,0.5166,0.54596,0.30565,1.61444,1.45999,1.57351,0.009703,0.009703,0.009703
5,1362.39,1.53479,1.4542,1.44038,0.7557,0.55416,0.61141,0.36864,1.53233,1.26198,1.48898,0.009604,0.009604,0.009604
6,1619.72,1.49533,1.35858,1.40989,0.75973,0.55381,0.62839,0.3799,1.50404,1.17631,1.47331,0.009505,0.009505,0.009505
7,1877.37,1.47876,1.29471,1.39568,0.78382,0.57201,0.64036,0.38078,1.49309,1.12888,1.4555,0.009406,0.009406,0.009406
8,2134.37,1.45458,1.23709,1.3818,0.61601,0.60944,0.65358,0.38852,1.48662,1.08884,1.45245,0.009307,0.009307,0.009307
9,2391.47,1.43513,1.20671,1.36409,0.7968,0.60983,0.67005,0.42752,1.45516,1.05957,1.42298,0.009208,0.009208,0.009208
10,2648.5,1.42545,1.192,1.3577,0.82326,0.61014,0.6807,0.43568,1.43407,1.00622,1.39891,0.009109,0.009109,0.009109
11,2904.78,1.42257,1.1594,1.35083,0.81216,0.6331,0.69643,0.4302,1.43292,0.97371,1.39094,0.00901,0.00901,0.00901
12,3159.93,1.40838,1.13391,1.33898,0.64876,0.71397,0.71628,0.4635,1.41892,0.93318,1.3875,0.008911,0.008911,0.008911
13,3414.79,1.39865,1.12319,1.33534,0.66326,0.64825,0.70777,0.45488,1.41574,0.93224,1.37997,0.008812,0.008812,0.008812
14,3669.42,1.38389,1.10096,1.32884,0.80452,0.64314,0.71217,0.46798,1.40788,0.95025,1.36737,0.008713,0.008713,0.008713
15,3924.21,1.38111,1.09015,1.32709,0.6385,0.70311,0.73028,0.47393,1.39284,0.90581,1.36035,0.008614,0.008614,0.008614
16,4178.75,1.36666,1.06011,1.31489,0.83327,0.65393,0.73197,0.4874,1.37357,0.87885,1.35672,0.008515,0.008515,0.008515
17,4432.49,1.36301,1.05865,1.31092,0.85251,0.63363,0.73047,0.48555,1.36239,0.87722,1.33471,0.008416,0.008416,0.008416
18,4687.17,1.35931,1.04879,1.30672,0.66069,0.73844,0.73785,0.49173,1.35593,0.85343,1.33116,0.008317,0.008317,0.008317
19,4941.54,1.35198,1.04401,1.30744,0.66932,0.66526,0.73397,0.49156,1.35388,0.85251,1.33566,0.008218,0.008218,0.008218
20,5195.45,1.35003,1.0319,1.30762,0.66195,0.73092,0.73968,0.49714,1.3492,0.84284,1.33023,0.008119,0.008119,0.008119
21,5449.12,1.34275,1.01802,1.29745,0.65966,0.74465,0.74756,0.50481,1.34057,0.82634,1.32285,0.00802,0.00802,0.00802
22,5704.67,1.33143,1.00302,1.28769,0.67761,0.74376,0.74935,0.50617,1.33055,0.81715,1.30834,0.007921,0.007921,0.007921
23,5960.16,1.33143,1.01371,1.28792,0.66649,0.75459,0.75073,0.51139,1.33129,0.81732,1.31407,0.007822,0.007822,0.007822
24,6215.98,1.32998,0.99029,1.28824,0.68063,0.75642,0.75806,0.5172,1.32606,0.8048,1.30621,0.007723,0.007723,0.007723
25,6474.06,1.32762,0.98977,1.28385,0.68395,0.76389,0.76077,0.52415,1.32112,0.7904,1.29898,0.007624,0.007624,0.007624
