epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.748,1.03431,4.11952,1.50651,0.52769,0.16557,0.20065,0.13944,0.99613,2.7408,1.51552,0.00332602,0.00332602,0.00332602
2,238.426,1.12447,3.33956,1.55808,0.3523,0.18225,0.16602,0.09587,1.42808,3.20669,1.92962,0.00659343,0.00659343,0.00659343
3,334.958,1.23127,3.13298,1.62858,0.36223,0.17216,0.14012,0.06581,1.90139,3.21487,2.58771,0.00979483,0.00979483,0.00979483
4,435.247,1.27521,3.05869,1.65233,0.23227,0.42189,0.30773,0.18887,1.287,2.64011,1.78033,0.009703,0.009703,0.009703
5,537.085,1.19842,2.69553,1.58223,0.38022,0.37167,0.3274,0.19952,1.33338,2.45831,1.80385,0.009604,0.009604,0.009604
6,637.812,1.15661,2.41833,1.53048,0.41299,0.51338,0.48664,0.34971,1.03816,1.85077,1.50453,0.009505,0.009505,0.009505
7,739.328,1.10516,2.16862,1.48084,0.49428,0.51455,0.51531,0.37299,1.04552,1.70168,1.50393,0.009406,0.009406,0.009406
8,842.415,1.0697,2.00549,1.45641,0.60582,0.60369,0.62559,0.47446,0.90927,1.42975,1.39858,0.009307,0.009307,0.009307
9,942.441,1.04598,1.85979,1.43301,0.48621,0.57264,0.56392,0.42312,0.95435,1.61224,1.43024,0.009208,0.009208,0.009208
10,1043.98,1.02362,1.74374,1.41525,0.687,0.64629,0.70387,0.54039,0.8544,1.21828,1.31825,0.009109,0.009109,0.009109
11,1141.41,0.98782,1.64352,1.3863,0.73194,0.64737,0.73332,0.55124,0.87407,1.16838,1.34752,0.00901,0.00901,0.00901
12,1239.9,0.97359,1.57879,1.37474,0.65937,0.6863,0.72547,0.55262,0.87365,1.17257,1.33595,0.008911,0.008911,0.008911
13,1339.7,0.96882,1.49409,1.36576,0.64762,0.73574,0.76859,0.61112,0.79548,1.11318,1.27279,0.008812,0.008812,0.008812
14,1439.08,0.95123,1.45279,1.35664,0.79674,0.76397,0.85307,0.65948,0.81369,0.87393,1.26262,0.008713,0.008713,0.008713
15,1540.09,0.9381,1.39497,1.34102,0.73753,0.75703,0.81638,0.64888,0.81464,0.94351,1.28758,0.008614,0.008614,0.008614
16,1643.62,0.92571,1.34921,1.33574,0.77033,0.78665,0.85218,0.6863,0.77403,0.91606,1.255,0.008515,0.008515,0.008515
17,1745.34,0.90316,1.31251,1.3236,0.75283,0.79652,0.83705,0.67705,0.75535,0.88432,1.23228,0.008416,0.008416,0.008416
18,1848.05,0.90421,1.27024,1.32063,0.81209,0.81467,0.87832,0.70605,0.74414,0.7856,1.21851,0.008317,0.008317,0.008317
19,1949.15,0.89283,1.25328,1.31078,0.77344,0.81224,0.8611,0.70312,0.70378,0.82696,1.17847,0.008218,0.008218,0.008218
20,2055.63,0.87934,1.19166,1.29916,0.78619,0.84469,0.88364,0.7338,0.68978,0.7368,1.16636,0.008119,0.008119,0.008119
21,2162.82,0.86956,1.17229,1.29529,0.82839,0.85052,0.89229,0.74922,0.68183,0.73528,1.16493,0.00802,0.00802,0.00802
22,2270.85,0.86226,1.13877,1.28786,0.84146,0.87079,0.9108,0.75201,0.70287,0.67016,1.18016,0.007921,0.007921,0.007921
23,2371.02,0.84933,1.11468,1.28056,0.82591,0.86145,0.88695,0.7279,0.69636,0.71776,1.17578,0.007822,0.007822,0.007822
24,2474.54,0.83677,1.07624,1.26917,0.81948,0.86187,0.89592,0.74751,0.68181,0.6838,1.16801,0.007723,0.007723,0.007723
25,2575.08,0.82779,1.05933,1.25741,0.86577,0.87351,0.91859,0.76823,0.66313,0.66016,1.1576,0.007624,0.007624,0.007624
26,2680.51,0.82662,1.0479,1.26047,0.84246,0.87574,0.91576,0.76775,0.65779,0.64773,1.13924,0.007525,0.007525,0.007525
27,2780.02,0.82244,1.02073,1.25596,0.85131,0.90072,0.9262,0.78443,0.65603,0.59869,1.13896,0.007426,0.007426,0.007426
28,2886.79,0.81421,1.00522,1.2536,0.85809,0.87534,0.92071,0.78004,0.6479,0.60273,1.13557,0.007327,0.007327,0.007327
29,2992.25,0.80056,0.9703,1.24447,0.88984,0.87924,0.92593,0.79155,0.63557,0.59959,1.13026,0.007228,0.007228,0.007228
30,3100.16,0.80588,0.97466,1.24521,0.87952,0.85992,0.91497,0.77783,0.64235,0.60853,1.12507,0.007129,0.007129,0.007129
