epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.205,0.67357,0.55282,1.1561,0.93694,0.9315,0.95411,0.85204,0.54338,0.42949,1.04513,0.00332607,0.00332607,0.00332607
2,203.183,0.69539,0.58194,1.16652,0.93392,0.91472,0.95709,0.84755,0.56612,0.46825,1.05643,0.00659348,0.00659348,0.00659348
3,298.814,0.75096,0.66563,1.19859,0.87811,0.78576,0.85798,0.68843,0.78808,0.74669,1.26883,0.00979488,0.00979488,0.00979488
4,393.638,0.82546,0.81296,1.24854,0.91873,0.87019,0.93382,0.78916,0.68452,0.59497,1.16538,0.009703,0.009703,0.009703
5,488.414,0.83394,0.82709,1.25063,0.89208,0.87614,0.93887,0.78887,0.68367,0.59061,1.1621,0.009604,0.009604,0.009604
6,583.154,0.82566,0.81993,1.24089,0.90112,0.83366,0.91377,0.75629,0.70606,0.64793,1.19228,0.009505,0.009505,0.009505
7,677.976,0.82556,0.81446,1.24412,0.89277,0.87312,0.92329,0.77525,0.6659,0.6094,1.14528,0.009406,0.009406,0.009406
8,773.02,0.82342,0.81394,1.24367,0.8925,0.87144,0.92421,0.76423,0.71839,0.65015,1.21238,0.009307,0.009307,0.009307
9,868.005,0.81531,0.79952,1.24231,0.91226,0.8832,0.93461,0.78718,0.6477,0.54844,1.12141,0.009208,0.009208,0.009208
10,966.22,0.80846,0.78432,1.23575,0.91937,0.86433,0.94029,0.79415,0.66765,0.56505,1.1555,0.009109,0.009109,0.009109
11,1071.78,0.8067,0.78559,1.23211,0.94181,0.90487,0.95044,0.81601,0.61525,0.52271,1.10549,0.00901,0.00901,0.00901
12,1178.8,0.79678,0.76261,1.22726,0.89605,0.87083,0.93227,0.80031,0.62681,0.54833,1.11701,0.008911,0.008911,0.008911
13,1286.82,0.79844,0.76456,1.22121,0.90263,0.90356,0.94298,0.81623,0.61431,0.53404,1.1054,0.008812,0.008812,0.008812
14,1393.27,0.79611,0.75791,1.2225,0.92746,0.87679,0.93812,0.79974,0.64507,0.57239,1.13549,0.008713,0.008713,0.008713
15,1497.41,0.79163,0.75614,1.2247,0.91486,0.8875,0.94811,0.81736,0.62657,0.52234,1.11418,0.008614,0.008614,0.008614
16,1599.82,0.78334,0.72819,1.21425,0.91095,0.89899,0.94637,0.81338,0.64182,0.53315,1.12558,0.008515,0.008515,0.008515
17,1697.91,0.7772,0.72935,1.21891,0.9083,0.90667,0.9465,0.81718,0.62073,0.50341,1.10818,0.008416,0.008416,0.008416
18,1798.16,0.7765,0.73101,1.21316,0.83645,0.78691,0.86529,0.69211,0.79567,0.74484,1.28582,0.008317,0.008317,0.008317
19,1905.5,0.77362,0.72861,1.2105,0.885,0.91544,0.94674,0.81267,0.64588,0.52225,1.13824,0.008218,0.008218,0.008218
20,2011.47,0.76712,0.71622,1.20661,0.8823,0.84771,0.92315,0.75503,0.69427,0.58443,1.20362,0.008119,0.008119,0.008119
21,2118.01,0.77138,0.70831,1.20764,0.90817,0.91669,0.9496,0.82619,0.58448,0.48035,1.08411,0.00802,0.00802,0.00802
22,2215.88,0.76834,0.70141,1.21007,0.9068,0.90459,0.9491,0.82166,0.6005,0.49869,1.10239,0.007921,0.007921,0.007921
23,2308.69,0.75247,0.69595,1.19797,0.9086,0.91799,0.94634,0.81452,0.62602,0.5417,1.12287,0.007822,0.007822,0.007822
24,2402.04,0.75213,0.6811,1.19171,0.90008,0.9081,0.95275,0.83247,0.59654,0.50463,1.09135,0.007723,0.007723,0.007723
