epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6375,1.17886,4.30609,1.60879,0.44002,0.11858,0.12762,0.08772,1.01845,2.94124,1.56002,9.23618e-05,9.23618e-05,9.23618e-05
2,167.202,1.13531,3.53211,1.56104,0.47862,0.28556,0.29095,0.18543,1.15188,2.30835,1.607,0.000183197,0.000183197,0.000183197
3,247.195,1.1239,2.91332,1.54387,0.39077,0.40578,0.36853,0.2349,1.17494,2.1082,1.65626,0.000272197,0.000272197,0.000272197
4,323.802,1.11428,2.56433,1.51898,0.4445,0.47275,0.46129,0.31866,1.04384,1.84972,1.51734,0.000269743,0.000269743,0.000269743
5,398.154,1.07077,2.27842,1.47687,0.59846,0.55762,0.58577,0.41386,1.03196,1.57112,1.52715,0.000266991,0.000266991,0.000266991
6,471.785,1.02648,2.05657,1.44366,0.56007,0.64197,0.65735,0.48083,0.9523,1.42234,1.40108,0.000264239,0.000264239,0.000264239
7,544.064,1.01004,1.89471,1.42196,0.63814,0.60525,0.66138,0.49006,0.91249,1.35757,1.39104,0.000261487,0.000261487,0.000261487
8,615.549,0.97892,1.77205,1.39465,0.64296,0.68946,0.73317,0.55457,0.89309,1.18374,1.39084,0.000258735,0.000258735,0.000258735
9,687.658,0.96753,1.66616,1.38424,0.69523,0.71082,0.75358,0.56618,0.88427,1.15548,1.38143,0.000255982,0.000255982,0.000255982
10,760.376,0.9399,1.56754,1.36316,0.6445,0.71357,0.73741,0.57325,0.82532,1.15395,1.32426,0.00025323,0.00025323,0.00025323
11,834.22,0.92777,1.52649,1.35073,0.70044,0.74241,0.77745,0.59612,0.84836,1.10331,1.34599,0.000250478,0.000250478,0.000250478
12,909.414,0.90801,1.43163,1.3421,0.71127,0.7297,0.78126,0.59703,0.85309,1.10589,1.34616,0.000247726,0.000247726,0.000247726
13,983.18,0.89423,1.37933,1.32163,0.70668,0.7977,0.80562,0.60947,0.80814,1.00642,1.29329,0.000244974,0.000244974,0.000244974
14,1057.65,0.89971,1.34044,1.32629,0.74637,0.82374,0.85484,0.67889,0.77189,0.89895,1.24148,0.000242221,0.000242221,0.000242221
15,1134.04,0.87166,1.28971,1.31179,0.78837,0.78035,0.84035,0.66104,0.79286,0.91823,1.28541,0.000239469,0.000239469,0.000239469
16,1209.42,0.88663,1.26486,1.31811,0.78593,0.78117,0.84772,0.68249,0.74934,0.87162,1.24104,0.000236717,0.000236717,0.000236717
17,1284.86,0.84757,1.20315,1.29047,0.8168,0.79435,0.8731,0.68309,0.78026,0.88126,1.26427,0.000233965,0.000233965,0.000233965
18,1360.24,0.84466,1.15922,1.27816,0.75999,0.86319,0.88079,0.69991,0.74975,0.79339,1.23712,0.000231213,0.000231213,0.000231213
19,1437.01,0.83891,1.1439,1.27978,0.771,0.83977,0.86667,0.68681,0.75559,0.80868,1.24647,0.00022846,0.00022846,0.00022846
20,1510.41,0.83684,1.11464,1.2792,0.82111,0.81388,0.88894,0.70811,0.74486,0.77471,1.22205,0.000225708,0.000225708,0.000225708
21,1587.4,0.83636,1.10163,1.27702,0.83452,0.80495,0.87985,0.69397,0.75914,0.76615,1.24456,0.000222956,0.000222956,0.000222956
22,1665.32,0.82142,1.05397,1.26526,0.86249,0.83455,0.88646,0.72094,0.71524,0.75568,1.20116,0.000220204,0.000220204,0.000220204
23,1746.9,0.80692,1.04059,1.25885,0.82462,0.82114,0.88785,0.72124,0.70258,0.75291,1.19723,0.000217452,0.000217452,0.000217452
24,1823.91,0.80516,1.0067,1.24958,0.8267,0.81932,0.8846,0.71216,0.73226,0.77572,1.21231,0.000214699,0.000214699,0.000214699
25,1905.77,0.797,1.00257,1.25191,0.85075,0.82893,0.88108,0.71199,0.72186,0.75555,1.20983,0.000211947,0.000211947,0.000211947
26,1986.33,0.801,0.99707,1.25687,0.81645,0.81489,0.87045,0.70623,0.7187,0.76131,1.19607,0.000209195,0.000209195,0.000209195
27,2070.05,0.78995,0.96321,1.23862,0.83499,0.80954,0.87519,0.70421,0.71463,0.77016,1.20312,0.000206443,0.000206443,0.000206443
28,2152.65,0.77354,0.93674,1.23895,0.8299,0.8493,0.89411,0.73802,0.67794,0.71297,1.17275,0.000203691,0.000203691,0.000203691
29,2235.64,0.77252,0.92449,1.23154,0.84409,0.83776,0.89488,0.72434,0.71949,0.71731,1.20389,0.000200938,0.000200938,0.000200938
30,2317.86,0.76743,0.91057,1.22746,0.88981,0.82722,0.89883,0.7271,0.73697,0.70076,1.22267,0.000198186,0.000198186,0.000198186
31,2399.26,0.76596,0.90773,1.22445,0.83338,0.86017,0.90171,0.72681,0.70153,0.69531,1.19184,0.000195434,0.000195434,0.000195434
32,2480.41,0.75669,0.88177,1.22057,0.82902,0.84316,0.89594,0.73331,0.70055,0.71516,1.18381,0.000192682,0.000192682,0.000192682
33,2560.98,0.7486,0.85933,1.21585,0.82368,0.84951,0.88244,0.72305,0.70977,0.6971,1.20961,0.00018993,0.00018993,0.00018993
34,2645.88,0.7439,0.85701,1.21052,0.84821,0.81792,0.88583,0.7286,0.69359,0.7252,1.18424,0.000187177,0.000187177,0.000187177
35,2728.7,0.73729,0.83819,1.20587,0.87521,0.80828,0.89561,0.74205,0.68911,0.70438,1.19111,0.000184425,0.000184425,0.000184425
36,2809.73,0.73863,0.83619,1.20309,0.87105,0.84611,0.89937,0.74422,0.67765,0.66884,1.17407,0.000181673,0.000181673,0.000181673
37,2893.45,0.72491,0.81763,1.19748,0.86662,0.85728,0.91053,0.75396,0.67245,0.63601,1.17124,0.000178921,0.000178921,0.000178921
38,2972,0.72154,0.79805,1.19833,0.89449,0.84707,0.91383,0.75428,0.6866,0.6129,1.16778,0.000176169,0.000176169,0.000176169
39,3049.04,0.73641,0.82255,1.20538,0.86582,0.83815,0.90675,0.75626,0.65827,0.64637,1.14693,0.000173416,0.000173416,0.000173416
40,3124.33,0.71677,0.79242,1.18312,0.85016,0.86119,0.91027,0.77358,0.65038,0.63081,1.13876,0.000170664,0.000170664,0.000170664
41,3196.59,0.70643,0.76437,1.18538,0.88669,0.82546,0.90826,0.7509,0.70554,0.67374,1.19452,0.000167912,0.000167912,0.000167912
42,3268.85,0.70243,0.76723,1.18614,0.88223,0.85292,0.90321,0.75596,0.67906,0.62053,1.17573,0.00016516,0.00016516,0.00016516
43,3341.08,0.70592,0.75102,1.17803,0.83505,0.87496,0.90507,0.75603,0.69345,0.64775,1.17411,0.000162408,0.000162408,0.000162408
44,3413.25,0.70421,0.75085,1.17947,0.90354,0.82666,0.90415,0.75792,0.66643,0.64271,1.14902,0.000159655,0.000159655,0.000159655
45,3485.47,0.69353,0.75904,1.17339,0.84812,0.85904,0.90641,0.75641,0.67391,0.64402,1.16981,0.000156903,0.000156903,0.000156903
46,3557.82,0.69076,0.73328,1.17309,0.87957,0.83899,0.91214,0.75278,0.6873,0.63206,1.1796,0.000154151,0.000154151,0.000154151
47,3630.29,0.67702,0.72945,1.16668,0.87619,0.87049,0.9211,0.76486,0.67914,0.61582,1.17299,0.000151399,0.000151399,0.000151399
48,3702.52,0.68352,0.72331,1.17053,0.88968,0.84715,0.91526,0.75552,0.66978,0.59734,1.17292,0.000148647,0.000148647,0.000148647
49,3774.74,0.67425,0.71234,1.16461,0.86156,0.87,0.90952,0.75998,0.65371,0.60716,1.14964,0.000145894,0.000145894,0.000145894
50,3846.85,0.67356,0.69628,1.16331,0.87912,0.85138,0.91135,0.75115,0.67466,0.60227,1.16311,0.000143142,0.000143142,0.000143142
51,3919.04,0.67091,0.69416,1.15858,0.88429,0.82743,0.91069,0.7511,0.67327,0.62813,1.17284,0.00014039,0.00014039,0.00014039
52,3991.25,0.6639,0.68753,1.15249,0.89687,0.88178,0.92831,0.77735,0.64315,0.56602,1.1457,0.000137638,0.000137638,0.000137638
53,4063.37,0.66467,0.687,1.15839,0.88873,0.85911,0.92363,0.76555,0.67247,0.57813,1.15836,0.000134886,0.000134886,0.000134886
54,4135.76,0.66351,0.675,1.15366,0.87377,0.83776,0.90333,0.75389,0.67795,0.64501,1.17013,0.000132133,0.000132133,0.000132133
55,4207.99,0.64965,0.66767,1.14584,0.86941,0.85652,0.916,0.76242,0.657,0.60351,1.15382,0.000129381,0.000129381,0.000129381
56,4280.13,0.64869,0.65553,1.14502,0.89746,0.84971,0.91151,0.77377,0.63049,0.57601,1.13058,0.000126629,0.000126629,0.000126629
57,4352.24,0.64882,0.65031,1.14339,0.88056,0.84934,0.91243,0.75765,0.65435,0.59362,1.15083,0.000123877,0.000123877,0.000123877
58,4424.54,0.64008,0.6416,1.13637,0.88824,0.87054,0.92477,0.7854,0.63309,0.55701,1.13978,0.000121125,0.000121125,0.000121125
59,4496.9,0.63483,0.64015,1.13498,0.92132,0.84874,0.92111,0.77802,0.63515,0.58068,1.13797,0.000118372,0.000118372,0.000118372
60,4569.05,0.63366,0.62847,1.13885,0.90673,0.84357,0.92045,0.7738,0.64524,0.5771,1.15075,0.00011562,0.00011562,0.00011562
61,4641.53,0.62505,0.61561,1.12727,0.89822,0.83736,0.91385,0.77009,0.63825,0.58347,1.14543,0.000112868,0.000112868,0.000112868
62,4713.85,0.63283,0.62982,1.13376,0.90982,0.858,0.92802,0.77827,0.64124,0.56073,1.14662,0.000110116,0.000110116,0.000110116
63,4786.23,0.62827,0.60728,1.12988,0.91007,0.84859,0.91689,0.77564,0.63481,0.56373,1.1342,0.000107364,0.000107364,0.000107364
64,4858.55,0.62401,0.61879,1.12671,0.90923,0.86022,0.9193,0.77909,0.6277,0.56081,1.11618,0.000104611,0.000104611,0.000104611
65,4931.06,0.62876,0.61138,1.13211,0.89501,0.86857,0.92244,0.77704,0.6379,0.55768,1.12581,0.000101859,0.000101859,0.000101859
66,5003.84,0.61431,0.60393,1.11988,0.90129,0.82795,0.91167,0.76479,0.63891,0.57018,1.14276,9.9107e-05,9.9107e-05,9.9107e-05
67,5076.75,0.60956,0.60286,1.12196,0.89654,0.84422,0.91504,0.77841,0.63323,0.56722,1.13611,9.63548e-05,9.63548e-05,9.63548e-05
68,5149.42,0.60497,0.59619,1.11178,0.912,0.82195,0.91267,0.76827,0.64962,0.58009,1.15149,9.36026e-05,9.36026e-05,9.36026e-05
69,5222.25,0.60745,0.59854,1.11748,0.87446,0.86471,0.91679,0.76756,0.65622,0.57484,1.15791,9.08504e-05,9.08504e-05,9.08504e-05
70,5295.7,0.59992,0.58194,1.1154,0.86977,0.84901,0.90485,0.75924,0.66532,0.60927,1.17118,8.80982e-05,8.80982e-05,8.80982e-05
71,5368.28,0.59698,0.57098,1.11341,0.89901,0.86431,0.91817,0.77848,0.63208,0.55397,1.13495,8.5346e-05,8.5346e-05,8.5346e-05
72,5440.67,0.5899,0.57795,1.10746,0.92254,0.84705,0.92231,0.78865,0.61561,0.54044,1.12021,8.25938e-05,8.25938e-05,8.25938e-05
73,5513.35,0.58641,0.5682,1.10921,0.89913,0.87016,0.9237,0.78113,0.6273,0.54302,1.13186,7.98416e-05,7.98416e-05,7.98416e-05
74,5586.25,0.58236,0.56506,1.1052,0.89721,0.86498,0.91845,0.77765,0.61874,0.54894,1.12235,7.70894e-05,7.70894e-05,7.70894e-05
75,5659.22,0.58903,0.56239,1.10553,0.90801,0.86209,0.92146,0.79146,0.60617,0.52525,1.1065,7.43372e-05,7.43372e-05,7.43372e-05
76,5731.88,0.58548,0.55309,1.10574,0.91308,0.83651,0.91256,0.77196,0.63201,0.56157,1.13426,7.1585e-05,7.1585e-05,7.1585e-05
77,5802.45,0.57216,0.54495,1.10044,0.90943,0.84812,0.91788,0.7816,0.62873,0.54719,1.13164,6.88328e-05,6.88328e-05,6.88328e-05
78,5875.34,0.57843,0.55481,1.10296,0.88671,0.88,0.92104,0.77976,0.62345,0.54378,1.1322,6.60806e-05,6.60806e-05,6.60806e-05
79,5948.13,0.56566,0.53866,1.09748,0.88515,0.86512,0.91905,0.77038,0.64901,0.56279,1.15946,6.33284e-05,6.33284e-05,6.33284e-05
80,6021.46,0.57105,0.53789,1.09595,0.88999,0.8595,0.91703,0.77381,0.63946,0.55867,1.14246,6.05762e-05,6.05762e-05,6.05762e-05
81,6095.07,0.56205,0.5292,1.092,0.87956,0.86022,0.91398,0.77196,0.63758,0.57606,1.1422,5.7824e-05,5.7824e-05,5.7824e-05
82,6173.41,0.56287,0.52659,1.08836,0.90979,0.85052,0.92558,0.78832,0.62594,0.54261,1.13821,5.50718e-05,5.50718e-05,5.50718e-05
83,6251.89,0.56396,0.52833,1.08992,0.88916,0.87318,0.92213,0.78283,0.62372,0.54748,1.13507,5.23196e-05,5.23196e-05,5.23196e-05
84,6326.89,0.55528,0.52927,1.08502,0.88709,0.85123,0.92054,0.77935,0.62545,0.53902,1.14038,4.95674e-05,4.95674e-05,4.95674e-05
85,6401.89,0.55862,0.52335,1.08674,0.90037,0.87172,0.9297,0.79586,0.60637,0.51998,1.12042,4.68152e-05,4.68152e-05,4.68152e-05
86,6482.09,0.54923,0.50696,1.0784,0.92903,0.85785,0.92888,0.79142,0.61529,0.51542,1.1301,4.4063e-05,4.4063e-05,4.4063e-05
87,6562.06,0.54382,0.51547,1.08277,0.91338,0.86603,0.92897,0.79642,0.6099,0.51951,1.12648,4.13108e-05,4.13108e-05,4.13108e-05
88,6640.85,0.54503,0.5014,1.07832,0.91999,0.84032,0.91403,0.77387,0.62878,0.56046,1.14693,3.85586e-05,3.85586e-05,3.85586e-05
89,6719.46,0.54391,0.50957,1.08029,0.90872,0.84619,0.91371,0.77556,0.62897,0.55208,1.14795,3.58064e-05,3.58064e-05,3.58064e-05
