epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.7441,1.34925,1.08615,1.43711,0.80877,0.68767,0.74404,0.41208,1.39416,0.96319,1.51171,0.00036915,0.00036915,0.00036915
2,151.142,1.22409,1.00549,1.3574,0.8179,0.71172,0.75719,0.42047,1.40033,0.94142,1.52716,0.000732163,0.000732163,0.000732163
3,221.845,1.19516,0.97769,1.34198,0.82707,0.69718,0.75718,0.42407,1.37417,0.95091,1.50394,0.00108784,0.00108784,0.00108784
4,292.551,1.17726,0.96791,1.33445,0.8461,0.69526,0.76146,0.41348,1.40624,0.94679,1.51463,0.001078,0.001078,0.001078
5,362.031,1.17818,0.96578,1.33471,0.83655,0.71031,0.76591,0.4272,1.37513,0.91003,1.50176,0.001067,0.001067,0.001067
6,431.262,1.15447,0.94448,1.3187,0.8477,0.70525,0.76843,0.42699,1.36931,0.919,1.48966,0.00105601,0.00105601,0.00105601
7,500.449,1.14717,0.92343,1.31468,0.83338,0.71228,0.77096,0.43254,1.37669,0.90317,1.49289,0.00104501,0.00104501,0.00104501
8,569.542,1.12649,0.90748,1.30152,0.85771,0.70851,0.77613,0.43913,1.36586,0.89104,1.49211,0.00103401,0.00103401,0.00103401
9,638.792,1.13963,0.92062,1.30653,0.8544,0.70465,0.76744,0.43506,1.36742,0.89345,1.48691,0.00102301,0.00102301,0.00102301
10,707.978,1.1242,0.89392,1.29615,0.84762,0.71373,0.77308,0.43349,1.38555,0.89776,1.49873,0.00101201,0.00101201,0.00101201
11,777.403,1.11098,0.89542,1.29469,0.83627,0.71123,0.7738,0.43754,1.37844,0.89142,1.49236,0.00100101,0.00100101,0.00100101
12,847.227,1.10888,0.88606,1.29407,0.84814,0.70467,0.76732,0.42431,1.39186,0.89416,1.50678,0.000990012,0.000990012,0.000990012
13,916.51,1.10698,0.87237,1.28755,0.84068,0.6944,0.76952,0.42795,1.3796,0.89555,1.51154,0.000979013,0.000979013,0.000979013
14,985.83,1.0986,0.86997,1.29027,0.83073,0.71611,0.77398,0.43713,1.36556,0.86922,1.49729,0.000968014,0.000968014,0.000968014
15,1055.08,1.0989,0.86992,1.29301,0.83704,0.71816,0.77283,0.43086,1.36168,0.86185,1.49236,0.000957015,0.000957015,0.000957015
16,1124.43,1.08774,0.85523,1.27879,0.83492,0.7164,0.76745,0.42698,1.36745,0.88158,1.48607,0.000946016,0.000946016,0.000946016
17,1193.58,1.08798,0.84571,1.28161,0.84521,0.71507,0.77271,0.43437,1.3803,0.86337,1.50126,0.000935018,0.000935018,0.000935018
