epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8712,0.99824,4.16469,1.46094,0.58966,0.17897,0.18512,0.14339,0.83179,2.68118,1.34321,9.23618e-05,9.23618e-05,9.23618e-05
2,153.278,1.01006,3.20916,1.44896,0.44608,0.46291,0.4482,0.33038,0.92022,1.97108,1.41442,0.000183197,0.000183197,0.000183197
3,218.256,0.99895,2.53318,1.43083,0.62426,0.58117,0.61691,0.48003,0.82475,1.54525,1.33154,0.000272197,0.000272197,0.000272197
4,282.281,0.98074,2.15582,1.40877,0.65381,0.69953,0.72244,0.58314,0.76275,1.25247,1.26984,0.000269743,0.000269743,0.000269743
5,346.963,0.95062,1.87615,1.38286,0.7389,0.71444,0.78958,0.63389,0.73354,1.14574,1.26298,0.000266991,0.000266991,0.000266991
6,413.179,0.91773,1.69394,1.35176,0.78329,0.80929,0.86665,0.70575,0.70322,0.93786,1.20387,0.000264239,0.000264239,0.000264239
7,479.383,0.90226,1.55208,1.33426,0.79182,0.82753,0.8636,0.70077,0.70545,0.93043,1.2354,0.000261487,0.000261487,0.000261487
8,545.778,0.86971,1.44915,1.30574,0.81121,0.85282,0.89055,0.73091,0.70655,0.81824,1.21081,0.000258735,0.000258735,0.000258735
9,616.299,0.86805,1.35851,1.30365,0.81497,0.87107,0.9048,0.74672,0.66962,0.79774,1.18403,0.000255982,0.000255982,0.000255982
10,685.846,0.84546,1.29761,1.28838,0.78726,0.86195,0.89121,0.74017,0.67684,0.77203,1.1942,0.00025323,0.00025323,0.00025323
11,752.023,0.83245,1.24167,1.27758,0.85582,0.87746,0.91859,0.76676,0.6437,0.73813,1.16141,0.000250478,0.000250478,0.000250478
12,824.536,0.8128,1.18118,1.26896,0.8686,0.90432,0.93096,0.78573,0.64797,0.6811,1.16091,0.000247726,0.000247726,0.000247726
13,893.143,0.80727,1.13577,1.25785,0.86479,0.86931,0.93189,0.80214,0.61199,0.67419,1.12146,0.000244974,0.000244974,0.000244974
14,959.352,0.80337,1.09878,1.25534,0.86058,0.87745,0.92232,0.76736,0.65154,0.68561,1.14612,0.000242221,0.000242221,0.000242221
15,1025.29,0.79029,1.07171,1.25177,0.87175,0.87776,0.9203,0.78854,0.60934,0.64835,1.1252,0.000239469,0.000239469,0.000239469
