epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.002,0.49785,0.4394,1.06052,0.95701,0.92392,0.96351,0.87258,0.50104,0.39558,1.02579,0.00332602,0.00332602,0.00332602
2,211.051,0.52083,0.4535,1.06843,0.94552,0.90447,0.95242,0.84991,0.53198,0.45963,1.05055,0.00659343,0.00659343,0.00659343
3,308.433,0.57232,0.51828,1.09587,0.91801,0.89608,0.94316,0.83461,0.56372,0.50196,1.08015,0.00979483,0.00979483,0.00979483
4,403.396,0.64149,0.61667,1.13467,0.88278,0.89042,0.92834,0.79088,0.64133,0.54972,1.14566,0.009703,0.009703,0.009703
5,497.47,0.6471,0.63757,1.14286,0.8965,0.89184,0.9359,0.80095,0.62583,0.54629,1.1427,0.009604,0.009604,0.009604
6,591.405,0.65702,0.6464,1.14443,0.93167,0.88681,0.94609,0.82572,0.59671,0.53174,1.11138,0.009505,0.009505,0.009505
7,692.34,0.66159,0.64831,1.1465,0.80714,0.60899,0.72106,0.58417,0.78507,1.4519,1.27036,0.009406,0.009406,0.009406
8,791.618,0.65523,0.64956,1.14897,0.91083,0.87512,0.93097,0.79981,0.60259,0.53593,1.10798,0.009307,0.009307,0.009307
9,888.335,0.65341,0.63547,1.14432,0.90681,0.90282,0.94443,0.8248,0.58788,0.48307,1.10186,0.009208,0.009208,0.009208
10,984.907,0.6573,0.64243,1.14925,0.93067,0.91622,0.95562,0.83564,0.5629,0.47415,1.0673,0.009109,0.009109,0.009109
11,1081.9,0.64438,0.63274,1.14163,0.92107,0.89676,0.94232,0.82727,0.57185,0.51255,1.08309,0.00901,0.00901,0.00901
12,1178.64,0.64619,0.62279,1.13619,0.87535,0.72287,0.80623,0.65738,0.74517,0.94989,1.2506,0.008911,0.008911,0.008911
13,1275.4,0.63847,0.60742,1.13452,0.94636,0.88463,0.9449,0.82101,0.59204,0.49698,1.08868,0.008812,0.008812,0.008812
14,1372.21,0.64583,0.61372,1.13795,0.91008,0.90385,0.95075,0.82419,0.61199,0.49548,1.12755,0.008713,0.008713,0.008713
15,1468.82,0.63639,0.61498,1.13426,0.92569,0.88086,0.93908,0.8134,0.60474,0.50822,1.11321,0.008614,0.008614,0.008614
16,1565.46,0.64185,0.60947,1.13505,0.9279,0.89721,0.94364,0.82133,0.58751,0.51092,1.09336,0.008515,0.008515,0.008515
17,1662.54,0.63018,0.60787,1.13164,0.92197,0.90998,0.94722,0.83686,0.57905,0.51268,1.08697,0.008416,0.008416,0.008416
18,1759.37,0.63375,0.60115,1.1328,0.9219,0.89415,0.94918,0.83005,0.58159,0.46471,1.09197,0.008317,0.008317,0.008317
19,1856.32,0.63405,0.60647,1.13336,0.92976,0.88604,0.95179,0.83528,0.56612,0.46668,1.07866,0.008218,0.008218,0.008218
20,1953.26,0.62176,0.59754,1.12667,0.9294,0.83276,0.9334,0.81097,0.59612,0.52299,1.11278,0.008119,0.008119,0.008119
21,2050.19,0.62242,0.59344,1.13006,0.89549,0.92171,0.95422,0.83445,0.58999,0.48538,1.0912,0.00802,0.00802,0.00802
22,2146.89,0.62131,0.58258,1.1273,0.91875,0.91794,0.95416,0.84276,0.5592,0.47263,1.07033,0.007921,0.007921,0.007921
23,2243.85,0.61608,0.58192,1.12178,0.94786,0.89766,0.95527,0.83047,0.57984,0.47361,1.08956,0.007822,0.007822,0.007822
24,2344.86,0.61837,0.58213,1.12536,0.93012,0.90713,0.95045,0.83047,0.57871,0.47782,1.08632,0.007723,0.007723,0.007723
25,2449.11,0.60947,0.57155,1.1167,0.94145,0.9118,0.94716,0.83557,0.54616,0.46445,1.06502,0.007624,0.007624,0.007624
26,2553.77,0.60579,0.57088,1.11868,0.94097,0.91711,0.95998,0.86279,0.53696,0.42716,1.05233,0.007525,0.007525,0.007525
27,2658.17,0.60736,0.56368,1.11427,0.93326,0.90429,0.95221,0.83516,0.56352,0.46552,1.08459,0.007426,0.007426,0.007426
28,2762.6,0.60407,0.56409,1.11642,0.92188,0.91044,0.95146,0.83572,0.56623,0.46741,1.08268,0.007327,0.007327,0.007327
29,2865.45,0.60046,0.55934,1.11406,0.94933,0.91782,0.96159,0.85006,0.55225,0.41565,1.05248,0.007228,0.007228,0.007228
30,2968.37,0.60692,0.55156,1.11502,0.92605,0.91443,0.95235,0.83988,0.56469,0.48021,1.06339,0.007129,0.007129,0.007129
31,3073.66,0.59892,0.55305,1.11329,0.94382,0.9219,0.96428,0.86673,0.51849,0.41179,1.03743,0.00703,0.00703,0.00703
32,3174.51,0.59951,0.55191,1.11678,0.95353,0.90726,0.96162,0.85965,0.54349,0.42066,1.0582,0.006931,0.006931,0.006931
33,3281.83,0.60245,0.56008,1.11486,0.95307,0.92655,0.96027,0.85053,0.55764,0.43905,1.07292,0.006832,0.006832,0.006832
34,3385.26,0.58979,0.54414,1.10489,0.95401,0.91468,0.95715,0.85666,0.54195,0.42037,1.06596,0.006733,0.006733,0.006733
35,3489.7,0.59378,0.53667,1.10882,0.94927,0.92007,0.96051,0.84386,0.56239,0.43733,1.07436,0.006634,0.006634,0.006634
36,3595.97,0.59117,0.53511,1.11179,0.90235,0.92698,0.95223,0.84315,0.54922,0.44466,1.07607,0.006535,0.006535,0.006535
37,3700.75,0.58532,0.52833,1.10661,0.93616,0.91067,0.958,0.85472,0.53125,0.43299,1.04909,0.006436,0.006436,0.006436
38,3797.57,0.58004,0.523,1.10285,0.93352,0.91626,0.95794,0.86404,0.52159,0.4134,1.05316,0.006337,0.006337,0.006337
39,3890.65,0.57892,0.52453,1.09881,0.9231,0.91746,0.95231,0.84798,0.53692,0.43055,1.06095,0.006238,0.006238,0.006238
40,3984.58,0.57649,0.51744,1.09963,0.94033,0.92201,0.95741,0.86369,0.52594,0.39948,1.05013,0.006139,0.006139,0.006139
41,4079.39,0.57257,0.52691,1.09547,0.94304,0.90687,0.95601,0.84768,0.54334,0.44736,1.05591,0.00604,0.00604,0.00604
42,4172.46,0.57148,0.51522,1.09678,0.93093,0.91601,0.9462,0.8447,0.54702,0.45079,1.06855,0.005941,0.005941,0.005941
43,4265.28,0.56713,0.51997,1.09229,0.95174,0.90459,0.96037,0.86022,0.52314,0.42957,1.05803,0.005842,0.005842,0.005842
44,4360.53,0.55877,0.50435,1.08575,0.94966,0.90582,0.95433,0.85744,0.52672,0.40992,1.05364,0.005743,0.005743,0.005743
45,4456.77,0.5666,0.50855,1.09282,0.95558,0.90701,0.95783,0.85051,0.5451,0.43973,1.06977,0.005644,0.005644,0.005644
46,4552.75,0.56314,0.51065,1.09256,0.95461,0.9241,0.96013,0.86617,0.51836,0.39313,1.04397,0.005545,0.005545,0.005545
47,4648.82,0.55831,0.49496,1.08913,0.94558,0.92358,0.96041,0.85699,0.5214,0.40873,1.03191,0.005446,0.005446,0.005446
48,4744.75,0.55765,0.50194,1.08984,0.9503,0.91429,0.96126,0.86864,0.51769,0.39581,1.02668,0.005347,0.005347,0.005347
49,4840.77,0.55516,0.49785,1.08538,0.94619,0.91518,0.95754,0.86006,0.50951,0.40049,1.03123,0.005248,0.005248,0.005248
50,4936.41,0.55079,0.48701,1.08575,0.95054,0.90723,0.95884,0.86208,0.50906,0.41349,1.03448,0.005149,0.005149,0.005149
51,5032.36,0.55003,0.48464,1.08321,0.94237,0.93982,0.96675,0.87077,0.50457,0.36946,1.02339,0.00505,0.00505,0.00505
52,5128.16,0.54386,0.47846,1.07965,0.948,0.91893,0.9624,0.87058,0.50113,0.38418,1.03504,0.004951,0.004951,0.004951
53,5224.09,0.54544,0.47671,1.08079,0.95554,0.92789,0.96284,0.87326,0.50012,0.38416,1.02483,0.004852,0.004852,0.004852
54,5319.9,0.5372,0.47403,1.08021,0.95355,0.9305,0.96424,0.87079,0.52015,0.38459,1.04863,0.004753,0.004753,0.004753
55,5415.72,0.53654,0.47946,1.07759,0.95718,0.92552,0.95495,0.86552,0.50084,0.37821,1.02853,0.004654,0.004654,0.004654
56,5511.57,0.54199,0.47314,1.08183,0.93729,0.9162,0.95199,0.85275,0.52031,0.39164,1.04428,0.004555,0.004555,0.004555
57,5607.57,0.52757,0.46263,1.0685,0.96571,0.92698,0.96478,0.87076,0.50408,0.37264,1.02705,0.004456,0.004456,0.004456
58,5703.52,0.5256,0.46608,1.06964,0.95274,0.92012,0.95682,0.86508,0.50957,0.39341,1.04029,0.004357,0.004357,0.004357
59,5799.38,0.52596,0.4633,1.06859,0.95356,0.92472,0.96175,0.87222,0.50516,0.38247,1.03858,0.004258,0.004258,0.004258
60,5895.61,0.52483,0.46337,1.06541,0.95338,0.92798,0.96012,0.8693,0.50952,0.39508,1.03722,0.004159,0.004159,0.004159
