epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1096,1.17342,4.18717,1.59057,0.41019,0.14571,0.14464,0.10249,1.01517,2.84103,1.52337,9.23618e-05,9.23618e-05,9.23618e-05
2,99.2447,1.13515,3.28679,1.5572,0.27735,0.37302,0.33318,0.22153,1.1215,2.20017,1.58669,0.000183197,0.000183197,0.000183197
3,154.83,1.10294,2.80789,1.51373,0.56608,0.3867,0.42809,0.27471,1.14072,2.07135,1.59781,0.000272197,0.000272197,0.000272197
4,205.54,1.09193,2.50943,1.49379,0.38375,0.47918,0.4729,0.33161,1.01847,1.8776,1.509,0.000269743,0.000269743,0.000269743
5,255.07,1.05837,2.30041,1.46913,0.50155,0.5466,0.54769,0.39679,1.0112,1.63386,1.47662,0.000266991,0.000266991,0.000266991
6,303.574,1.02349,2.10713,1.43719,0.60822,0.66865,0.69527,0.49169,1.07849,1.45825,1.47669,0.000264239,0.000264239,0.000264239
7,354.695,1.02136,1.96635,1.42344,0.68449,0.62444,0.69777,0.49245,1.00053,1.36114,1.45908,0.000261487,0.000261487,0.000261487
8,402.446,0.98653,1.85297,1.39503,0.63326,0.68323,0.70057,0.50241,0.96717,1.34654,1.43881,0.000258735,0.000258735,0.000258735
9,449.21,0.98139,1.7538,1.39061,0.64006,0.65399,0.70287,0.51075,0.924,1.30933,1.39534,0.000255982,0.000255982,0.000255982
10,496.027,0.96548,1.6625,1.37456,0.74032,0.70218,0.77802,0.56861,0.91931,1.17722,1.40493,0.00025323,0.00025323,0.00025323
11,544.983,0.94624,1.63157,1.36397,0.73029,0.71715,0.77766,0.56785,0.90759,1.14319,1.37559,0.000250478,0.000250478,0.000250478
12,591.583,0.93906,1.54924,1.35712,0.72268,0.74799,0.7966,0.60368,0.86938,1.09635,1.33821,0.000247726,0.000247726,0.000247726
13,638.977,0.91601,1.49731,1.33327,0.69977,0.76683,0.79234,0.60001,0.88358,1.11796,1.35139,0.000244974,0.000244974,0.000244974
14,684.524,0.91629,1.47095,1.33494,0.7912,0.7257,0.82192,0.6304,0.85072,1.04086,1.33106,0.000242221,0.000242221,0.000242221
